Key,Study,Experiment,System,Criterion,Result
Yao2022,Yao2022,O,GT,Readability,4.946280991735537
Yao2022,Yao2022,O,GT,Answer Relevancy,4.83402489626556
Yao2022,Yao2022,O,GT,Question Relevancy,4.921161825726141
Yao2022,Yao2022,O,PAQ,Readability,4.079166666666667
Yao2022,Yao2022,O,PAQ,Answer Relevancy,3.904166666666667
Yao2022,Yao2022,O,PAQ,Question Relevancy,4.175
Yao2022,Yao2022,O,QAG,Readability,4.7112970711297075
Yao2022,Yao2022,O,QAG,Answer Relevancy,3.98744769874477
Yao2022,Yao2022,O,QAG,Question Relevancy,4.389121338912134
Yao2022,Yao2022,R1,GT,Readability,4.7053941908713695
Yao2022,Yao2022,R1,GT,Answer Relevancy,4.460580912863071
Yao2022,Yao2022,R1,GT,Question Relevancy,4.70954356846473
Yao2022,Yao2022,R1,PAQ,Readability,4.170833333333333
Yao2022,Yao2022,R1,PAQ,Answer Relevancy,3.2
Yao2022,Yao2022,R1,PAQ,Question Relevancy,3.6083333333333334
Yao2022,Yao2022,R1,QAG,Readability,4.520833333333333
Yao2022,Yao2022,R1,QAG,Answer Relevancy,3.2
Yao2022,Yao2022,R1,QAG,Question Relevancy,3.825
Yao2022,Yao2022,R3,GT,Readability,4.049586776859504
Yao2022,Yao2022,R3,GT,Answer Relevancy,4.566115702479339
Yao2022,Yao2022,R3,GT,Question Relevancy,4.640495867768595
Yao2022,Yao2022,R3,PAQ,Readability,3.5625
Yao2022,Yao2022,R3,PAQ,Answer Relevancy,3.783333333333333
Yao2022,Yao2022,R3,PAQ,Question Relevancy,3.6375
Yao2022,Yao2022,R3,QAG,Readability,3.8833333333333333
Yao2022,Yao2022,R3,QAG,Answer Relevancy,3.691666666666667
Yao2022,Yao2022,R3,QAG,Question Relevancy,3.9541666666666666
